C6446L;BABY GOLA POLO MC - PIQUET PV 185 LARANJA;C6446L;6446L;9;606
C6446L.0001;BABY GOLA POLO MC - PIQUET PV 185 LARANJA - G;C6446L;6446L;9;606
C6451L;ARAUJO E PORTELA - BABY LOOK GOL POLO ML - PIQUET PA 025 AREIA;C6451L;6451L;18;606
C6451L.0001;ARAUJO E PORTELA - BABY LOOK GOL POLO ML - PIQUET PA 025 AREIA - G;C6451L;6451L;18;606
C6452L;ARAUJO E PORTELA -  CAMISETA GOL POLO MC - PIQUET PA 025 AREIA;C6452L;6452L;18;602
C6452L.0001;ARAUJO E PORTELA -  CAMISETA GOL POLO MC - PIQUET PA 025 AREIA - G;C6452L;6452L;18;602
C6455J;COPAT - CAMISETA GOLA RED MC - POLIVIS 015 RY;C6455J;6455J;9;600
C6455J.0001;COPAT - CAMISETA GOLA RED MC - POLIVIS 015 RY - G;C6455J;6455J;9;600
C6455L;BABY LOOK GOLA POLO MC - PIQUET PV 020 BORDO;C6455L;6455L;9;606
C6455L.0001;BABY LOOK GOLA POLO MC - PIQUET PV 020 BORDO - G;C6455L;6455L;9;606
C6492E;PLACICAR - CAMISETA GOLA RED MC - POLIVISCOSE 014 PRETO;C6492E;6492E;9;600
C6492E.0001;PLACICAR - CAMISETA GOLA RED MC - POLIVISCOSE 014 PRETO - G;C6492E;6492E;9;600
C6500L;CINADIS -  CAMISETA GOLA POLO MC - PIQUET PA 061 PRETO;C6500L;6500L;18;602
C6500L.0001;CINADIS -  CAMISETA GOLA POLO MC - PIQUET PA 061 PRETO - G;C6500L;6500L;18;602
C6502L;CINADIS -  CAMISETA GOLA POLO MC - PIQUET PA 094 CHUMBO;C6502L;6502L;18;602
C6502L.0001;CINADIS -  CAMISETA GOLA POLO MC - PIQUET PA 094 CHUMBO - G;C6502L;6502L;18;602
C6502M;POSTO QUERO QUERO - BABY LOOK POLO MC -  PIQUET PA 178 VERM;C6502M;6502M;18;602
C6502M.0001;POSTO QUERO QUERO - BABY LOOK POLO MC -  PIQUET PA 178 VERM - G;C6502M;6502M;18;602
C6502ZZ;ROD OIL - CALCA SOCIAL MASC - UNILESTER FIT 2050 CINZA;C6502ZZ;6502ZZ;18;103
C6502ZZ.0001;ROD OIL - CALCA SOCIAL MASC - UNILESTER FIT 2050 CINZA - G;C6502ZZ;6502ZZ;18;103
